"time","l2.v","vc.i","vc.is_peak","vc.v_pulse","vc.vs_peak","vc.v"
3.05,-0.08,-4.868598282473062e-13,0,-0.08,0,-0.08
3.06,-0.08,-4.873395971841304e-13,0,-0.08,0,-0.08
3.07,-0.08,-4.878162342409124e-13,0,-0.08,0,-0.08
3.08,-0.08,-4.882897595893286e-13,0,-0.08,0,-0.08
3.09,-0.08,-4.887601932359919e-13,0,-0.08,0,-0.08
3.1,-0.08,-4.892275550222163e-13,0,-0.08,0,-0.08
3.11,-0.08,-4.896918646237825e-13,0,-0.08,0,-0.08
3.12,-0.08,-4.90153141550702e-13,0,-0.08,0,-0.08
3.13,-0.08,-4.906114051469843e-13,0,-0.08,0,-0.08
3.14,-0.08,-4.910666745904e-13,0,-0.08,0,-0.08
3.15,-0.08,-4.915189688922471e-13,0,-0.08,0,-0.08
3.16,-0.08,-4.919683068971152e-13,0,-0.08,0,-0.08
3.17,-0.08,-4.924147079074233e-13,0,-0.08,0,-0.08
3.18,-0.08,-4.928582054046773e-13,0,-0.08,0,-0.08
3.19,-0.08,-4.932988067731268e-13,0,-0.08,0,-0.08
3.2,-0.08,-4.937365308401648e-13,0,-0.08,0,-0.08
3.21,-0.08,-4.941713963141184e-13,0,-0.08,0,-0.08
3.22,-0.08,-4.946034217855761e-13,0,-0.08,0,-0.08
3.23,-0.08,-4.950326257287195e-13,0,-0.08,0,-0.08
3.24,-0.08,-4.954590265026516e-13,0,-0.08,0,-0.08
3.25,-0.08,-4.958826423527264e-13,0,-0.08,0,-0.08
3.26,-0.08,-4.963034914118773e-13,0,-0.08,0,-0.08
3.27,-0.08,-4.967215917019464e-13,0,-0.08,0,-0.08
3.28,-0.08,-4.971369611350112e-13,0,-0.08,0,-0.08
3.29,-0.08,-4.975496175147139e-13,0,-0.08,0,-0.08
3.3,-0.08,-4.979595785375883e-13,0,-0.08,0,-0.08
3.31,-0.08,-4.983668617943867e-13,0,-0.08,0,-0.08
3.32,-0.08,-4.987714856301331e-13,0,-0.08,0,-0.08
3.33,-0.08,-4.99173467625734e-13,0,-0.08,0,-0.08
3.34,-0.08,-4.995728245251962e-13,0,-0.08,0,-0.08
3.35,-0.08,-4.99969573581536e-13,0,-0.08,0,-0.08
3.36,-0.08,-5.003637319541045e-13,0,-0.08,0,-0.08
3.37,-0.08,-5.007553167101043e-13,0,-0.08,0,-0.08
3.38,-0.08,-5.011443448261057e-13,0,-0.08,0,-0.08
3.39,-0.08,-5.015308331895628e-13,0,-0.08,0,-0.08
3.4,-0.08,-5.019147986003296e-13,0,-0.08,0,-0.08
3.41,-0.08,-5.022962577721774e-13,0,-0.08,0,-0.08
3.42,-0.08,-5.02675227334313e-13,0,-0.08,0,-0.08
3.43,-0.08,-5.030517238328955e-13,0,-0.08,0,-0.08
3.44,-0.08,-5.034257637325547e-13,0,-0.08,0,-0.08
3.45,-0.08,-5.0379736341791e-13,0,-0.08,0,-0.08
3.46,-0.08,-5.041665386839097e-13,0,-0.08,0,-0.08
3.47,-0.08,-5.045332966533608e-13,0,-0.08,0,-0.08
3.48,-0.08,-5.048976602027766e-13,0,-0.08,0,-0.08
3.49,-0.08,-5.052596450040953e-13,0,-0.08,0,-0.08
3.5,-0.08,-5.056192666261494e-13,0,-0.08,0,-0.08
3.51,-0.08,-5.059765405351867e-13,0,-0.08,0,-0.08
3.52,-0.08,-5.063314820953925e-13,0,-0.08,0,-0.08
3.53,-0.08,-5.066841065694104e-13,0,-0.08,0,-0.08
3.54,-0.08,-5.070344291188629e-13,0,-0.08,0,-0.08
3.55,-0.08,-5.073824648048733e-13,0,-0.08,0,-0.08
3.56,-0.08,-5.077282285885859e-13,0,-0.08,0,-0.08
3.57,-0.08,-5.080717353316866e-13,0,-0.08,0,-0.08
3.58,-0.08,-5.084129997969241e-13,0,-0.08,0,-0.08
3.59,-0.08,-5.087520366486295e-13,0,-0.08,0,-0.08
3.6,-0.08,-5.090888604532373e-13,0,-0.08,0,-0.08
3.61,-0.08,-5.094234856798054e-13,0,-0.08,0,-0.08
3.62,-0.08,-5.097559267005355e-13,0,-0.08,0,-0.08
3.63,-0.08,-5.100861977912926e-13,0,-0.08,0,-0.08
3.64,-0.08,-5.104143131321249e-13,0,-0.08,0,-0.08
3.65,-0.08,-5.107402867247234e-13,0,-0.08,0,-0.08
3.66,-0.08,-5.110641325333853e-13,0,-0.08,0,-0.08
3.67,-0.08,-5.113858645184146e-13,0,-0.08,0,-0.08
3.68,-0.08,-5.117054964765128e-13,0,-0.08,0,-0.08
3.69,-0.08,-5.120230421108182e-13,0,-0.08,0,-0.08
3.7,-0.08,-5.123385150314176e-13,0,-0.08,0,-0.08
3.71,-0.08,-5.126519287558533e-13,0,-0.08,0,-0.08
3.72,-0.08,-5.129632967096354e-13,0,-0.08,0,-0.08
3.73,-0.08,-5.132726322267495e-13,0,-0.08,0,-0.08
3.74,-0.08,-5.135799485501668e-13,0,-0.08,0,-0.08
3.75,-0.08,-5.13885258832353e-13,0,-0.08,0,-0.08
3.76,-0.08,-5.141885761357785e-13,0,-0.08,0,-0.08
3.77,-0.08,-5.144899134334268e-13,0,-0.08,0,-0.08
3.78,-0.08,-5.14789283609304e-13,0,-0.08,0,-0.08
3.79,-0.08,-5.150866994589481e-13,0,-0.08,0,-0.08
3.8,-0.08,-5.153821736899373e-13,0,-0.08,0,-0.08
3.81,-0.08,-5.156757189224009e-13,0,-0.08,0,-0.08
3.82,-0.08,-5.159673476895254e-13,0,-0.08,0,-0.08
3.83,-0.08,-5.16257072438066e-13,0,-0.08,0,-0.08
